finOrg_id,name,country_code,region,investment_rounds,invested_companies,milestones,relationships,years_invested
4756,Masters Capital Nanotechnology,unknown,unknown,2,1,0,0,1.03
4757,Jade Invest,CHN,Shanghai,1,1,0,0,0.0
4759,Red River Ventures,USA,Dallas,1,1,0,0,0.0
476,Buenos Aires Capital Partners,ARG,Buenos Aires,1,1,0,3,0.0
4760,NewSchools Venture Fund,USA,SF Bay,21,19,3,46,3.78
4761,Staley Capital Advisors,USA,Boston,2,2,0,0,4.28
4762,BioPacific Ventures,NZL,Auckland,3,2,0,0,5.0
4763,GBP Capital,USA,New York,1,1,0,0,0.0
4764,Orix Capital Corporation,JPN,Tokyo,1,1,0,0,0.0
4765,SODENA,ESP,Pamplona,6,6,0,0,7.12
4766,National Healthcare Services,USA,Los Angeles,2,2,0,1,4.39
4767,ABN AMRO Private Equity,NLD,Amsterdam,3,3,0,2,1.39
4768,Grande Ventures,USA,Washington DC,1,1,0,0,0.0
4769,Osage Partners,USA,Bala Cynwyd,5,5,0,0,6.9
477,Flywheel Ventures,USA,Santa Fe,20,14,0,5,7.98
4770,Innovations New Ventures,unknown,unknown,1,1,0,0,0.0
4771,Infinity Equity,unknown,unknown,8,8,0,0,6.53
4772,Islamic Development Bank,SAU,Jeddah,1,1,0,0,0.0
4773,Crabtree Ventures,unknown,unknown,2,2,0,1,0.11
4775,RAB Capital,GBR,London,2,2,0,2,0.06
4776,TrustCapital,IND,Mumbai,3,3,0,0,6.99
4777,NVM Private Equity,GBR,Newcastle,5,5,3,1,5.18
4778,QUBIS,GBR,Belfast,4,4,0,0,6.24
4779,University Challenge Fund,unknown,unknown,1,1,0,0,0.0
4780,PR&D,AUT,Vienna,1,1,0,0,0.0
4781,London Technology Fund,GBR,London,2,2,0,0,0.87
4782,Hygea VCT,GBR,unknown,2,2,0,0,0.52
4783,T-bolaget,SWE,Gothenburg,4,2,0,0,5.08
4784,Wiener Wachstumsfonds,AUT,Wien,1,1,0,0,0.0
4785,Arax Capital Partners,AUT,Vienna,2,2,0,0,0.02
4786,ChimeraBio,unknown,unknown,1,1,0,0,0.0
4787,Meitav Underwriting,unknown,unknown,1,1,0,0,0.0
4788,White Rose Technology Seedcorn Fund,GBR,Glasgow,3,3,0,1,0.85
4789,Westbury Partners,USA,Hauppauge,3,3,0,0,7.44
4790,UOB Venture,SGP,Singapore - Other,6,5,0,0,4.41
4791,Bahrain Middle East Bank,BHR,Manama,2,1,0,0,0.93
4792,Daiwa SMBC Capital,JPN,Tokyo,4,4,0,0,2.37
4793,suda Enterprise Development 1,unknown,unknown,1,1,0,0,0.0
4795,Manchester Technology Fund,GBR,Manchester,2,2,0,0,0.51
4796,Chord Capital,GBR,London,4,4,0,0,5.17
4797,Partnerships UK,GBR,London,3,3,0,0,1.43
4798,British Smaller Technology Companies VCT 2,unknown,unknown,1,1,0,1,0.0
4799,EPF Partners,FRA,Paris,1,1,0,0,0.0
48,Benchmark,USA,SF Bay,306,165,3,37,16.51
480,The eCoast Angel Network,USA,Portsmouth,7,5,0,0,6.06
4800,TPP Capital Advisors,JPN,Tokyo,1,1,0,0,0.0
4801,Nippon Venture Capital,JPN,Tokyo,10,9,0,0,12.53
4802,Radius Ventures,USA,New York,14,9,0,10,5.81
4803,Sirius Seedfonds,DEU,Germany - Other,3,1,0,0,5.81
4804,Cato BioVentures,USA,Raleigh-Durham,1,1,0,0,0.0
4805,Jefferson Corner Group,USA,Charlottesville,1,1,0,0,0.0
4806,Sestant SpA,unknown,unknown,2,1,0,0,1.64
4807,Sanpaolo IMI Investimenti,ITA,Bologna,3,2,0,0,4.47
4808,Meyer Ventures,USA,New York,2,2,0,0,6.37
481,Schooner Capital,USA,Boston,8,6,0,0,6.61
4810,The Capital Fund,GBR,London,10,7,0,0,4.11
4811,East Midlands Business Angels,GBR,Newark,1,1,0,0,0.0
4813,BioScience Ventures Group,DEU,Munich,3,3,0,0,3.22
4814,Incuba Venture,unknown,unknown,5,5,0,0,1.9
4815,Emigrant Capital,USA,New York,2,2,0,0,1.45
4816,Greer Capital Advisors,USA,Birmingham,1,1,0,0,0.0
4817,Esperante Ventures,GBR,London,3,3,0,0,5.99
4818,SP Acquisitions,unknown,unknown,1,1,0,0,0.0
4819,Chippewa Valley Investment Partners,unknown,unknown,3,3,0,0,0.88
482,Tapit Partners,USA,Healdsburg,1,1,0,0,0.0
4820,Central Wisconsin Angel Investors,unknown,unknown,1,1,0,0,0.0
4821,Amkey Ventures,USA,SF Bay,3,3,0,0,7.59
4822,Yorkshire Cancer Research,GBR,United Kingdom - Other,2,1,0,0,2.43
4823,Phoenix IP Ventures,USA,Philadelphia,2,1,0,1,1.56
4824,Friulia SGR,ITA,Trieste,1,1,0,0,0.0
4825,Generali Horizon,unknown,unknown,1,1,0,0,0.0
4826,Banca Popolare di Cividale,ITA,unknown,1,1,0,0,0.0
4827,Univen Capital,ESP,unknown,2,2,0,0,0.0
4828,Oyster Capital Partners,unknown,unknown,2,2,0,0,5.6
4829,Eqvitec Partners Oy,FIN,Helsinki,8,7,0,1,5.38
4831,International Biotechnology Trust,GBR,London,2,2,0,0,4.89
