finOrg_id,name,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,milestones,relationships,years_invested
f:3894,NSA Ventures,ISL,Reykjavik,Reykjavik,2009-01-01,2010-04-01,3,3,0,0,1.25
f:3897,BioMedPartners,CHE,Basel,Basel,2009-11-20,2013-11-04,6,4,0,0,3.96
f:3898,Abalis Finance,CHE,Wollerau,Wollerau,2009-11-20,2011-02-16,2,1,0,0,1.24
f:3899,Fidelity Contrafund,USA,Boston,Boston,2009-11-19,2009-11-19,1,1,0,0,0.0
f:39,Herald Ventures,GBR,London,London,2003-10-01,2012-12-11,18,8,0,10,9.2
f:390,FirstMark Capital,USA,New York,New York,2006-06-14,2013-11-01,91,49,0,28,7.38
f:3900,Smallcap World Fund,USA,Los Angeles,Los Angeles,2009-11-19,2009-11-19,1,1,0,0,0.0
f:3908,Veraventure,FIN,Helsinki,Helsinki,2010-01-26,2010-06-08,6,6,0,0,0.36
f:3909,Ingenico Ventures,unknown,unknown,unknown,2009-11-23,2012-02-28,2,1,0,0,2.26
f:391,Monster Venture Partners,USA,Bellevue,Seattle,2007-07-01,2008-07-08,5,5,0,3,1.02
f:3910,Trillium Group,USA,Pittsford,Rochester,2009-11-10,2011-09-14,3,3,0,0,1.84
f:3912,A-Z Beteiligungen,unknown,unknown,unknown,2009-05-11,2009-05-11,1,1,0,0,0.0
f:3913,Six Degrees Capital,USA,Seattle,Seattle,2004-04-01,2004-04-01,1,1,0,0,0.0
f:3914,Olympic Financial,USA,Kent,Seattle,,,0,0,0,1,
f:3916,Ridgeback Capital,USA,New York,New York,,,0,0,0,0,
f:3917,Paperboy Ventures,USA,Washington,Washington DC,2005-11-15,2005-11-15,1,1,0,0,0.0
f:3919,Agram Invest Inc,HRV,Zagreb,Zagreb,,,0,0,0,0,
f:392,Focus Ventures,USA,Palo Alto,SF Bay,2000-09-26,2013-10-24,49,35,0,6,13.08
f:3920,XN-Ventures,FIN,Espoo,Espoo,,,0,0,0,0,
f:3921,Wisteria Formations,GBR,London,London,,,0,0,0,1,
f:3923,Astrapia,unknown,unknown,unknown,,,0,0,0,1,
f:3924,Velocity Partners,USA,Bellevue,Seattle,2006-05-18,2007-05-22,2,1,0,2,1.01
f:3925,Starkville Technology Investments,unknown,unknown,unknown,2006-08-31,2006-08-31,1,1,0,0,0.0
f:3926,MIssissippi Angel Fund,USA,Ridgeland,Ridgeland,2006-08-31,2006-08-31,1,1,0,2,0.0
f:3928,Aquarius Equity Partners,GBR,Manchester,Manchester,2009-11-19,2009-11-19,1,1,0,0,0.0
f:3929,Biotech Fund Flanders,unknown,unknown,unknown,2009-06-29,2012-01-20,2,1,0,0,2.56
f:393,Iron Springs Capital,USA,unknown,Unknown,,,0,0,0,0,
f:3930,VIB,BEL,Gent,GENT,2007-06-20,2013-02-11,6,4,0,1,5.65
f:3931,Tilocor Life Science,unknown,unknown,unknown,2005-09-06,2009-12-08,3,2,0,0,4.25
f:3933,Initiative Capital,FRA,Sausheim,unknown,2005-09-06,2012-11-27,2,2,0,0,7.23
f:3934,Innovation Bridge,unknown,unknown,unknown,2009-11-20,2009-11-20,1,1,0,0,0.0
f:3935,Chicago Growth Partners,USA,Chicago,Chicago,2009-06-30,2012-06-21,6,2,0,3,2.98
